Cost (bps),Strategy,CAGR (%),Sharpe,Max DD (%),Turnover,Total Costs (%)
0,Equal_Weight,17.528622911568426,0.8242924334396898,32.57489786235999,7.8491217759262915,0.0
0,MVO_Historical,28.604088460660428,1.1965190862689232,28.260870159276614,98.33953939666617,0.0
0,ML_MVO_No_Uncertainty,12.557915914210248,0.5876779321950691,37.002963061670414,305.82174250662854,0.0
0,UAPOML_Uncertainty_Aware,11.611474289612955,0.5479007273025281,37.983910143269185,307.38679322176824,0.0
5,Equal_Weight,17.462419395844652,0.8214005731682292,32.58262175988614,7.8491217759262915,0.39245608879631455
5,MVO_Historical,27.700138104966054,1.1633904944312425,28.302512708181872,98.33953939666617,4.916976969833308
5,ML_MVO_No_Uncertainty,10.110442939176401,0.47887199887416426,37.17432942466359,305.82174250662854,15.29108712533143
5,UAPOML_Uncertainty_Aware,9.172523021550116,0.4379874302434077,38.159452510259634,307.38679322176824,15.369339661088413
10,Equal_Weight,17.396252306723415,0.8185085645725955,32.590345005684476,7.8491217759262915,0.7849121775926291
10,MVO_Historical,26.802359554973876,1.1302249231083428,28.344138703485072,98.33953939666617,9.833953939666616
10,ML_MVO_No_Uncertainty,7.714993413259075,0.3701012949686015,37.95404161303312,305.82174250662854,30.58217425066286
10,UAPOML_Uncertainty_Aware,6.785672242759855,0.3281050002065913,38.408222555028395,307.38679322176824,30.738679322176825
15,Equal_Weight,17.330121624632767,0.8156164090546485,32.59806759979375,7.8491217759262915,1.1773682663889438
15,MVO_Historical,25.91071189605354,1.0970250940384372,28.385748149317187,98.33953939666617,14.750930909499923
15,ML_MVO_No_Uncertainty,5.370486826982557,0.26143843724690274,40.18806982512337,305.82174250662854,45.87326137599428
15,UAPOML_Uncertainty_Aware,4.449834441794853,0.21832838522511117,40.637273337547896,307.38679322176824,46.10801898326524
20,Equal_Weight,17.264027330011377,0.8127241080164859,32.60578954225286,7.8491217759262915,1.5698243551852582
20,MVO_Historical,25.025154476812574,1.063793738220401,28.427341049808234,98.33953939666617,19.66790787933323
20,ML_MVO_No_Uncertainty,3.0758645891781233,0.152955447204928,42.34279927862787,305.82174250662854,61.16434850132572
20,UAPOML_Uncertainty_Aware,2.163944277944041,0.10873194922181308,42.78679424497566,307.38679322176824,61.47735864435365
30,Equal_Weight,17.131947824981687,0.8069390749890508,32.6212314723758,7.8491217759262915,2.3547365327778875
30,MVO_Historical,23.27214905813697,0.9972474098952936,28.510477231285584,98.33953939666617,29.501861818999846
30,ML_MVO_No_Uncertainty,-1.3678542099900382,-0.06318721884977181,47.73968826638952,305.82174250662854,91.74652275198856
30,UAPOML_Uncertainty_Aware,-2.262146286435829,-0.10962733008604969,48.283999284434756,307.38679322176824,92.21603796653048
