Lambda,Strategy,CAGR (%),Annual Vol (%),Sharpe,Max DD (%)
0.5,MVO_Historical,27.625793780418984,21.454269410120666,1.1518752663054401,28.257948743549306
0.5,ML_MVO_No_Uncertainty,5.983675267990862,21.570858837776154,0.2852927669014142,40.78805240947027
0.5,UAPOML_Uncertainty_Aware,5.414289302073461,21.43240047128087,0.26058913857126254,40.47688401761769
1.0,MVO_Historical,27.096011339833726,21.377027923785743,1.1357852251280927,28.331929393962646
1.0,ML_MVO_No_Uncertainty,7.84131384453326,20.930568252473986,0.37052261733679587,40.13585216345436
1.0,UAPOML_Uncertainty_Aware,6.893254406300864,20.773552419586334,0.3292791017376634,40.337563931735495
2.0,MVO_Historical,26.802359554973876,21.253965194477647,1.1302249231083428,28.344138703485072
2.0,ML_MVO_No_Uncertainty,7.714993413259075,20.265565959775206,0.3701012949686015,37.95404161303312
2.0,UAPOML_Uncertainty_Aware,6.785672242759855,20.15227295552491,0.3281050002065913,38.408222555028395
3.0,MVO_Historical,26.90189773991669,21.09462061428745,1.1408633351553106,28.114478222925467
3.0,ML_MVO_No_Uncertainty,6.501618318000002,19.855273198957722,0.31654328824905564,37.70542293675956
3.0,UAPOML_Uncertainty_Aware,6.34935354434587,19.73281870128149,0.3100178956985336,37.90477049041357
5.0,MVO_Historical,25.703240144982242,20.803537020364594,1.1082405506482471,28.325055460354076
5.0,ML_MVO_No_Uncertainty,5.484654788058019,19.411942956656144,0.2698843588398417,37.831528097696086
5.0,UAPOML_Uncertainty_Aware,5.585554389759473,19.211758279559128,0.27564571191899895,37.52613117563147
